PYTHONPATH=~/tmp/miniconda3/envs/MaProject/bin/python:
[I 2025-03-23 12:40:45,793] A new study created in memory with name: no-name-a6446dad-f1da-41b2-bfd1-a86e81e090b4
[I 2025-03-23 12:44:32,762] Trial 0 finished with value: 0.008392682138939504 and parameters: {'lr': 0.00022777394778075084, 'weight_decay': 1.7662462439220527e-05}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 12:48:14,836] Trial 1 finished with value: 0.017932114302839766 and parameters: {'lr': 0.0004473645768389652, 'weight_decay': 4.1251074223339314e-06}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 12:51:57,308] Trial 2 finished with value: 0.049167609026265005 and parameters: {'lr': 1.3227807458915873e-05, 'weight_decay': 0.00033944732708999896}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 12:55:39,449] Trial 3 finished with value: 0.013439937474979688 and parameters: {'lr': 0.00017597866654557636, 'weight_decay': 3.458588870903613e-05}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 12:59:21,844] Trial 4 finished with value: 0.013012661380490762 and parameters: {'lr': 0.0002700615558158106, 'weight_decay': 0.00011093886079120507}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:03:04,375] Trial 5 finished with value: 0.043312049756247195 and parameters: {'lr': 2.0934170815903942e-05, 'weight_decay': 7.103332924589922e-05}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:06:46,657] Trial 6 finished with value: 0.04022527953624846 and parameters: {'lr': 3.386908611533049e-05, 'weight_decay': 2.0183529935228105e-05}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:10:28,736] Trial 7 finished with value: 0.02600243056170462 and parameters: {'lr': 5.80145701125451e-05, 'weight_decay': 0.006942206125967705}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:14:10,255] Trial 8 finished with value: 0.026344245073438112 and parameters: {'lr': 0.0004428247451963704, 'weight_decay': 0.0025897970992556814}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:17:52,161] Trial 9 finished with value: 0.013133517476900681 and parameters: {'lr': 0.0005310710765221041, 'weight_decay': 0.0001359967668586381}. Best is trial 0 with value: 0.008392682138939504.
/home/anhcao/tmp/GitHub/DLProject_1/ModelTraining/Wafer-map/utils.py:139: RuntimeWarning: More than 20 figures have been opened. Figures created through the pyplot interface (`matplotlib.pyplot.figure`) are retained until explicitly closed and may consume too much memory. (To control this warning, see the rcParam `figure.max_open_warning`). Consider using `matplotlib.pyplot.close()`.
  fig, ax = plt.subplots(figsize=(8, 6))
[I 2025-03-23 13:21:33,586] Trial 10 finished with value: 0.02973831385602646 and parameters: {'lr': 0.0009066985880839776, 'weight_decay': 1.2911195210671428e-06}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:25:15,482] Trial 11 finished with value: 0.015917236351777962 and parameters: {'lr': 0.00012879881413222155, 'weight_decay': 0.0005737188378757652}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:28:57,724] Trial 12 finished with value: 0.017316472202383595 and parameters: {'lr': 0.0001878479897451996, 'weight_decay': 1.450590937863107e-05}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:32:39,305] Trial 13 finished with value: 0.013178977596204101 and parameters: {'lr': 0.00023461192562193828, 'weight_decay': 5.067570112836193e-06}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:36:21,254] Trial 14 finished with value: 0.019488824504209804 and parameters: {'lr': 8.618200152772075e-05, 'weight_decay': 0.000288419679647915}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:40:03,414] Trial 15 finished with value: 0.014114235033517733 and parameters: {'lr': 0.00030095062062521243, 'weight_decay': 0.00143853686484384}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:43:45,335] Trial 16 finished with value: 0.021074331039750586 and parameters: {'lr': 6.469235692927277e-05, 'weight_decay': 8.280013434542607e-05}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:47:27,185] Trial 17 finished with value: 0.02981129075863376 and parameters: {'lr': 0.0009264808974501558, 'weight_decay': 8.499080914867564e-06}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:51:08,748] Trial 18 finished with value: 0.01649676826538428 and parameters: {'lr': 0.00012932892795221207, 'weight_decay': 1.5985003760468474e-06}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:54:50,198] Trial 19 finished with value: 0.01025685505526546 and parameters: {'lr': 0.0003149208271728894, 'weight_decay': 3.629074632729786e-05}. Best is trial 0 with value: 0.008392682138939504.
[I 2025-03-23 13:58:46,606] A new study created in memory with name: no-name-06644b1b-e1e8-4367-8f5c-c90a4ddcd4ea
[I 2025-03-23 14:09:12,725] Trial 0 finished with value: 0.03718453082924107 and parameters: {'lr': 0.0008732187340783993, 'weight_decay': 0.00021036730901369784}. Best is trial 0 with value: 0.03718453082924107.
[I 2025-03-23 14:19:39,060] Trial 1 finished with value: 0.033516261261971776 and parameters: {'lr': 8.504803723667187e-05, 'weight_decay': 0.0004402807128604965}. Best is trial 1 with value: 0.033516261261971776.
[I 2025-03-23 14:30:06,901] Trial 2 finished with value: 0.029986417008473813 and parameters: {'lr': 0.0001773663692072548, 'weight_decay': 0.002111984531534549}. Best is trial 2 with value: 0.029986417008473813.
[I 2025-03-23 14:40:31,532] Trial 3 finished with value: 0.0356976243604359 and parameters: {'lr': 3.1563642713580195e-05, 'weight_decay': 0.0004690875013621504}. Best is trial 2 with value: 0.029986417008473813.
[I 2025-03-23 14:51:05,088] Trial 4 finished with value: 0.038925795848373065 and parameters: {'lr': 2.6450793212207044e-05, 'weight_decay': 7.959279717636678e-05}. Best is trial 2 with value: 0.029986417008473813.
[I 2025-03-23 15:01:36,089] Trial 5 finished with value: 0.03846537952817608 and parameters: {'lr': 2.0645081599473146e-05, 'weight_decay': 5.130545362810609e-05}. Best is trial 2 with value: 0.029986417008473813.
[I 2025-03-23 15:12:05,973] Trial 6 finished with value: 0.029357462430359818 and parameters: {'lr': 0.0003366372755548081, 'weight_decay': 2.7248541642548955e-05}. Best is trial 6 with value: 0.029357462430359818.
[I 2025-03-23 15:22:33,383] Trial 7 finished with value: 0.03464253997087728 and parameters: {'lr': 3.241557205271831e-05, 'weight_decay': 5.444315056836312e-05}. Best is trial 6 with value: 0.029357462430359818.
[I 2025-03-23 15:33:00,120] Trial 8 finished with value: 0.027271790671298986 and parameters: {'lr': 7.51737586114668e-05, 'weight_decay': 8.542787961972799e-05}. Best is trial 8 with value: 0.027271790671298986.
[I 2025-03-23 15:43:27,022] Trial 9 finished with value: 0.028429946854701453 and parameters: {'lr': 0.00035752368904644203, 'weight_decay': 6.795273960082868e-05}. Best is trial 8 with value: 0.027271790671298986.
[I 2025-03-23 15:53:54,714] Trial 10 finished with value: 0.029487892347766997 and parameters: {'lr': 7.26750670288865e-05, 'weight_decay': 1.856182168240437e-06}. Best is trial 8 with value: 0.027271790671298986.
[I 2025-03-23 16:04:22,832] Trial 11 finished with value: 0.025676804613851467 and parameters: {'lr': 0.00046072119407035444, 'weight_decay': 5.735474097576221e-06}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 16:14:51,172] Trial 12 finished with value: 0.03671788255501744 and parameters: {'lr': 0.0008137699807375684, 'weight_decay': 5.275456688045225e-06}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 16:25:18,496] Trial 13 finished with value: 0.027701213318332682 and parameters: {'lr': 0.00018671862289324368, 'weight_decay': 8.879253899429422e-06}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 16:35:46,873] Trial 14 finished with value: 0.04506596275415748 and parameters: {'lr': 1.2464844679643506e-05, 'weight_decay': 1.079606098431893e-06}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 16:46:12,481] Trial 15 finished with value: 0.0366655139088073 and parameters: {'lr': 6.248690803480898e-05, 'weight_decay': 0.007602912483707229}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 16:56:40,196] Trial 16 finished with value: 0.02654790061322189 and parameters: {'lr': 0.00016849846964607162, 'weight_decay': 1.0076969933866025e-05}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 17:07:07,890] Trial 17 finished with value: 0.028421538622844737 and parameters: {'lr': 0.00044013256586446844, 'weight_decay': 1.1075225877291656e-05}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 17:17:40,560] Trial 18 finished with value: 0.02730080201777762 and parameters: {'lr': 0.0001681618925727056, 'weight_decay': 3.2000826306021866e-06}. Best is trial 11 with value: 0.025676804613851467.
[I 2025-03-23 17:28:08,295] Trial 19 finished with value: 0.028894014669247667 and parameters: {'lr': 0.0005137520358075013, 'weight_decay': 2.0971041262697377e-05}. Best is trial 11 with value: 0.025676804613851467.
slurmstepd: error: *** JOB 576770 ON cc1g05 CANCELLED AT 2025-03-24T00:04:47 ***
